"Pays","Capitale administrative","Funfact 1","Funfact 2","Funfact 3"
"Madagascar","Antananarivo ou Tananarive","Madagascar abrite plus de 90% d'espèces animales et végétales endémiques, qu'on ne trouve nulle part ailleurs sur Terre","Antananarivo est construite sur 12 collines, ce qui lui vaut parfois le surnom de “la ville aux mille collines”","le célèbre lémurien, symbole de Madagascar, tient son nom du mot latin ""lemures"" signifiant ""fantômes"" à cause de ses grands yeux brillants la nuit."
"Samoa","Apia","Samoa est l'un des premiers pays à accueillir le lever du soleil chaque jour grâce à son fuseau horaire proche de la ligne internationale de changement de date","Apia est la seule capitale du monde située sur l'île principale d'un pays qui a récemment modifié son fuseau horaire en reculant d'un jour pour mieux s'aligner économiquement avec l'Australie et la Nouvelle-Zélande","Le tourisme à Samoa inclut des nuits dans des fales traditionnels, des huttes ouvertes sur la nature, offrant une expérience authentique unique en Polynésie."
"Érythrée","Asmara","Asmara est surnommée ""la petite Rome"" pour son architecture italienne coloniale remarquable","elle possède l’un des trams urbains les plus anciens d’Afrique, toujours en fonctionnement","l’Érythrée est l’un des rares pays africains où le français, l’anglais et l’arabe sont officiellement reconnus."
"Kazakhstan","Astana","Astana a été renommée Noursoultan entre 2019 et 2022 en l'honneur de l'ancien président Nursultan Nazarbaïev","le Kazakhstan est le plus grand pays sans littoral du monde","la ville d'Astana est connue pour son architecture futuriste, incluant le bâtiment en forme de tente appelé le Palais de la Paix et de la Réconciliation."
"Paraguay","Asuncion","Asuncion est l'une des plus anciennes villes d'Amérique du Sud, fondée en 1537","le Paraguay est l'un des rares pays bilingues officiellement, avec l'espagnol et le guarani","le Chipa, un pain à base de farine de manioc et de fromage, est une spécialité culinaire très populaire au Paraguay."
"Grèce","Athènes","Athènes est l'une des plus anciennes villes habitées en continu au monde, avec une histoire remontant à plus de 3 400 ans","le Parthénon, symbole emblématique d'Athènes, est aligné de manière à ce que ses colonnes captent parfaitement la lumière du soleil au solstice d'été","la Grèce compte environ 6 000 îles, mais seulement environ 200 d'entre elles sont habitées."
"Îles Cook","Avarua","Les Îles Cook comptent 15 îles dispersées sur une superficie marine de plus de 2 millions de km²","Avarua, la capitale, signifie ""petit village entre les deux lagons""","les Îles Cook utilisent le dollar néo-zélandais mais émettent aussi leurs propres pièces de monnaie collector."
"Irak","Bagdad","Bagdad a été fondée en 762 et était autrefois la plus grande ville du monde médiéval","l'ancienne Mésopotamie, située en Irak, est souvent appelée le ""berceau de la civilisation"" car c'est là que l'écriture a été inventée","le Tigre et l'Euphrate, deux fleuves majeurs, traversent l'Irak et ont permis le développement de l'une des premières grandes civilisations humaines."
"Azerbaïdjan","Bakou","Bakou est construite sur un ancien champ de pétrole, l’une des premières régions pétrolifères du monde","la vieille ville de Bakou, Icherisheher, est entourée de murs datant du XIIe siècle","l’Azerbaïdjan est surnommé le « pays du feu » en raison de ses nombreuses sources de gaz naturel qui s’enflamment spontanément."
"Mali","Bamako","Bamako est l'une des rares capitales africaines situées sur une falaise dominant un fleuve, le Niger","Le Mali abrite les ruines de Tombouctou, une ancienne ville légendaire réputée pour ses manuscrits anciens","Le célèbre musicien Ali Farka Touré, icône du blues malien, était originaire du Mali."
"Brunei","Bandar Seri Begawan","Brunei est l'un des rares pays au monde où le pétrole et le gaz naturel représentent près de 90 % des revenus du gouvernement","Bandar Seri Begawan abrite la mosquée Omar Ali Saifuddien, considérée comme l'une des plus belles mosquées d'Asie du Sud-Est","dans cette capitale, il existe un village flottant appelé Kampong Ayer où environ 30 000 personnes vivent sur l'eau dans des maisons en bois sur pilotis."
"Thaïlande","Bangkok","Bangkok est souvent appelée la ville aux anges grâce à son nom complet extrêmement long en thaï","la Thaïlande est le seul pays d'Asie du Sud-Est à n'avoir jamais été colonisé par une puissance européenne","à Bangkok, il est illégal de sortir de chez soi sans sous-vêtements."
"République centrafricaine","Bangui","La République centrafricaine possède l'une des plus grandes réserves d'uranium d'Afrique","Bangui est traversée par la rivière Oubangui, un affluent important du fleuve Congo","le pays abrite la forêt tropicale de Dzanga-Sangha, célèbre pour ses gorilles des plaines."
"Gambie","Banjul","La Gambie est le plus petit pays d'Afrique continentale","Banjul est situé sur une île entourée par le fleuve Gambie","Le pays est surnommé ""la côte de l'ivoire"" malgré sa petite taille."
"Saint-Christophe-et-Niévès","Basseterre","Saint-Christophe-et-Niévès est la plus petite nation indépendante des Amériques","Basseterre abrite l'une des plus anciennes églises anglicanes des Caraïbes, construite en 1680","l'île est connue pour la tradition du carnaval de Saint-Christophe, qui inclut des danses et costumes uniques célébrant l'histoire locale."
"Serbie","Belgrade","Belgrade est l'une des plus anciennes villes d'Europe, avec une histoire qui remonte à plus de 7000 ans","la forteresse de Kalemegdan offre une vue stratégique à la confluence de la rivière Sava et du Danube","la Serbie est célèbre pour avoir produit Nikola Tesla, l'inventeur et ingénieur légendaire."
"Belize","Belmopan","Belmopan est la plus petite capitale d'Amérique centrale en termes de population","le Belize abrite la plus grande barrière de corail de l'hémisphère nord","la ville de Belmopan a été créée en 1970 pour remplacer Belize City après un ouragan dévastateur."
"Allemagne","Berlin","Berlin a plus de ponts que Venise","l’Allemagne a inventé le calendrier grégorien en 1582","la Forêt-Noire en Allemagne est l’origine supposée du conte des frères Grimm ""Le Petit Chaperon rouge""."
"Suisse","Berne","La célèbre horloge astronomique de Berne date de 1530 et son mécanisme montre non seulement l'heure mais aussi les phases de la lune et les signes du zodiaque","la Suisse est le pays avec le plus grand nombre de lacs par habitant en Europe","Berne est surnommée la ""ville des ours"" car on y trouve un enclos à ours depuis le 16ème siècle, symbole de la ville."
"Liban","Beyrouth","Beyrouth est surnommée ""la ville qui ne dort jamais"" en raison de sa vie nocturne animée","le Liban possède l'un des plus anciens cèdres du monde, symbole national et présent sur son drapeau","la ville antique de Byblos, près de Beyrouth, est l'une des plus vieilles villes continuellement habitées sur Terre."
"Kirghizistan","Bichkek","Le Kirghizistan est surnommé la ""Suisse d'Asie centrale"" pour ses paysages montagneux spectaculaires","Bichkek est connue pour ses larges avenues bordées d'arbres, héritage de l'urbanisme soviétique","la tradition kirghize du nomadisme demeure vivante avec des yourtes toujours utilisées lors des festivals et fêtes."
"Guinée-Bissau","Bissau","La langue officielle est le portugais, mais la plupart des habitants parlent le créole bissau-guinéen","Bissau est connue pour ses cases en banco, une technique de construction en terre battue","le parc national de la Basse-Casamance, près de la frontière avec la Guinée-Bissau, abrite une grande variété d’espèces rares, notamment des chimpanzés."
"Afrique du Sud","Bloemfontein, Le Cap, Pretoria","Le Cap est célèbre pour sa montagne de la Table qui reçoit souvent un ""manteau"" de nuages","Pretoria est surnommée la ""ville des jacarandas"" grâce à ses nombreux arbres en fleurs violet au printemps","Bloemfontein signifie ""fontaine de fleurs"" en afrikaans et est aussi connue comme la ""ville des roses"" pour ses jardins florissants."
"Colombie","Bogota","Bogotá est perchée à environ 2 640 mètres d'altitude, ce qui en fait l'une des capitales les plus hautes du monde","la Colombie est le premier exportateur mondial de fleurs coupées, surtout pour la Saint-Valentin","le célèbre écrivain Gabriel García Márquez, prix Nobel de littérature, est colombien."
"Brésil","Brasilia","Brasilia a été construite en seulement 41 mois pour devenir la nouvelle capitale du Brésil","le design de la ville en forme d'avion ou d'oiseau a été conçu par l'architecte Oscar Niemeyer et l'urbaniste Lúcio Costa","le Brésil est le plus grand pays d'Amérique du Sud et possède la plus grande forêt tropicale du monde, l'Amazonie."
"Slovaquie","Bratislava","Bratislava est la seule capitale européenne à border deux autres pays, l'Autriche et la Hongrie","le château de Bratislava a été reconstruit dans les années 1950 après avoir presque entièrement brûlé","la Slovaquie est le plus grand producteur mondial de scooters et motos de la marque Kymco."
"République du Congo","Brazzaville","Brazzaville est l'une des rares capitales au monde à être située directement en face d'une autre capitale, Kinshasa, de l'autre côté du fleuve Congo","le fleuve Congo, qui traverse la République du Congo, est le deuxième plus long d'Afrique et possède le deuxième plus grand débit d'eau au monde après l'Amazone","la République du Congo abrite le parc national de Nouabalé-Ndoki, une des dernières grandes forêts tropicales intactes, célèbre pour ses populations de gorilles et d'éléphants de forêt."
"Barbade","Bridgetown","Bridgetown est l'une des rares villes au monde à avoir un stade de cricket situé à l'intérieur de la ville","La Barbade a inspiré le nom de la bière populaire ""Barbados Rum""","Le Château de Sjahput est un site historique clé relié aux premiers colons européens."
"Belgique","Bruxelles","La Belgique produit plus de types de fromage différents que tout autre pays au monde","Bruxelles abrite la plus petite statue publique du monde, le Manneken Pis","le premier dessin animé mettant en scène Tintin a été créé par un Belge, Hergé."
"Roumanie","Bucarest","Bucarest abrite le Palais du Parlement, le deuxième plus grand bâtiment administratif au monde après le Pentagone","la Roumanie est le berceau de la pipe en bruyère, une tradition artisanale renommée","le conte de Dracula est inspiré en partie par Vlad l'Empaleur, un prince roumain du XVe siècle."
"Hongrie","Budapest","Budapest possède le plus grand réseau de grottes thermales du monde sous la ville","la langue hongroise n’est pas indo-européenne, elle appartient à la famille finno-ougrienne","le Parlement de Budapest est le troisième plus grand bâtiment parlementaire au monde."
"Argentine","Buenos Aires","Buenos Aires est souvent appelée le ""Paris de l'Amérique du Sud"" en raison de son architecture européenne et de ses cafés sophistiqués","l'Argentine est le troisième plus grand pays d'Amérique du Sud après le Brésil et l'Argentine fait partie des plus grands exportateurs mondiaux de vin, notamment grâce à la région de Mendoza.","Information non disponible"
"Burundi","Bujumbura, Gitega","Gitega est la capitale culturelle du Burundi et abrite plusieurs sites historiques importants","Bujumbura, ancienne capitale, est située au bord du lac Tanganyika, l'un des plus grands et des plus profonds lacs d'Afrique","le Burundi est l'un des rares pays d'Afrique à avoir la tradition du tambour royal, un élément central de sa culture et de ses cérémonies."
"Égypte","Le Caire","Le Caire est la plus grande ville d'Afrique avec plus de 20 millions d'habitants","les pyramides de Gizeh sont les seules merveilles antiques encore debout","le Nil, qui traverse l'Égypte, est le plus long fleuve du monde."
"Australie","Canberra","Canberra est l’une des rares capitales au monde à avoir été créée ex nihilo, spécialement conçue pour être la capitale","l’Australie possède plus de 10 000 plages, soit plus que n’importe quel autre pays","dans le désert australien, il existe un lac rose appelé Lake Hillier, dû à la présence de micro-organismes particuliers."
"Venezuela","Caracas","Caracas est construite au pied du téléphérique le plus long et le plus compliqué du monde, le téléphérique de La Guaira","Le Venezuela possède la chute d'eau la plus haute du monde, le Salto Ángel, avec 979 mètres de hauteur","La ville de Caracas subit régulièrement des tremblements de terre modérés, mais elle est aussi entourée de montagnes qui modèrent leur impact."
"Sainte-Lucie","Castries","Sainte-Lucie est célèbre pour ses Pitons, deux volcans jumeaux classés au patrimoine mondial de l'UNESCO","la capitale Castries abrite le marché central où l'on peut trouver des épices locales uniques","Sainte-Lucie est la seule île des Caraïbes à avoir un diamant de couleur appelé le ""Sainte-Lucie Oval""."
"Monténégro","Cetinje, Podgorica","Le Monténégro est le seul pays au monde à avoir un drapeau sans carré ou rectangle","Podgorica a été presque entièrement rasée lors de la Seconde Guerre mondiale et reconstruite en style architectural soviétique","Cetinje, l’ancienne capitale, est connue comme la « ville-musée » en raison de ses nombreux monastères et palais historiques bien préservés."
"Moldavie","Chisinau","La Moldavie abrite la plus grande cave à vin au monde, Mileștii Mici, qui s’étend sur plus de 200 km","Chișinău est surnommée la « ville des arbres » en raison de ses nombreux espaces verts","la vallée du ruisseau Poiana Mare à Chișinău est célèbre pour ses anciennes pierres gravées datant de l’époque préhistorique."
"Guinée équatoriale","Ciudad de la Paz","La Guinée équatoriale est le seul pays d'Afrique où l'espagnol est langue officielle","Ciudad de la Paz, anciennement connue sous le nom de Oyala, est une ville planifiée construite pour devenir la nouvelle capitale administrative du pays","le pays est l'un des plus riches en pétrole d'Afrique, ce qui a profondément transformé son économie malgré une population relativement petite."
"Sri Lanka","Colombo, Sri Jayawardenapura Kotte","Le Sri Lanka est surnommé la « perle de l’océan Indien » en raison de sa forme et de sa biodiversité exceptionnelle","Colombo, la capitale commerciale, possède un mélange architectural unique mêlant influences coloniales portugaises, hollandaises et britanniques","Sri Jayawardenapura Kotte est la capitale administrative et est célèbre pour son parlement moderne construit sur une île artificielle."
"Honduras","Comayagüela, Tegucigalpa","Le Honduras abrite le plus grand système de grottes en Amérique centrale, le réseau de grottes de Cacahuamilpa","Tegucigalpa, la capitale, signifie ""colline de plata"" en langue indigène Nahuatl","Comayagüela, souvent considérée comme jumelle de Tegucigalpa, conserve un charme plus traditionnel et moins touristique."
"Guinée","Conakry","Conakry est construite sur l'île de Tombo, une des rares capitales africaines situées sur une île","la Guinée possède la deuxième plus grande réserve de bauxite au monde, essentielle à la production d’aluminium","la langue nationale, le soussou, est parlée par environ 40% de la population, bien que la Guinée compte plus de 20 groupes ethniques différents."
"Danemark","Copenhague","Copenhague a le plus ancien parc d'attractions encore en fonctionnement, Bakken, ouvert depuis 1583","le Danemark est connu pour son concept de ""hygge,"" qui valorise le confort et la convivialité","à Copenhague, plus de la moitié des habitants se déplacent quotidiennement à vélo, faisant de la ville l'une des plus cyclistes au monde."
"Bénin","Cotonou, Porto-Novo","Le Bénin est le berceau du vaudou, une religion reconnue officiellement dans le pays","Cotonou, bien que capitale économique, n'est pas la capitale politique du Bénin, qui est Porto-Novo","Porto-Novo signifie « nouvelle ville » en portugais, héritage de la présence portugaise au XVIIe siècle."
"Sénégal","Dakar","Dakar accueille l’une des plus grandes courses de rallye tout-terrain, le Dakar Rally, qui tire son nom de la capitale","la Maison des Esclaves sur l’île de Gorée, près de Dakar, est un site historique majeur lié à la traite transatlantique des esclaves","le mbalax, un genre musical populaire au Sénégal, fusionne rythmes traditionnels wolof avec des influences modernes comme le jazz et le rock."
"Syrie","Damas","Damas est considérée comme l'une des plus anciennes villes continuellement habitées au monde","la ville abrite la plus vieille mosquée du monde, la Mosquée des Omeyyades, construite au 8ème siècle","la Syrie possède l'un des plus anciens systèmes d'irrigation connus, utilisé depuis l'Antiquité pour l'agriculture."
"Bangladesh","Dacca","Dacca est connue comme la ""ville des rickshaws"" avec environ un million de ces véhicules dans ses rues","le Bangladesh est le deuxième plus grand producteur mondial de jute, surnommé ""l'or blanc""","le Sundarbans, la plus grande forêt de mangroves au monde, s'étend en partie au Bangladesh, abritant le tigre du Bengale."
"Tanzanie","Dar es Salam, Dodoma","Le mont Kilimandjaro en Tanzanie est le plus haut sommet d'Afrique","Dar es Salaam, bien que capitale économique, n'est plus la capitale politique depuis que Dodoma a été officiellement désignée capitale en 1996","le parc national du Serengeti en Tanzanie abrite la plus grande migration de mammifères terrestres au monde."
"Timor oriental","Dili","Timor oriental est l'un des rares pays à avoir adopté le portugais comme langue officielle au XXIe siècle","Dili abrite une vieille église construite par les Portugais au XVIe siècle, la Cathédrale de Sainte Marie","le pays est l'un des plus jeunes au monde, ayant obtenu son indépendance en 2002 après des décennies de conflit."
"Djibouti","Djibouti","Djibouti abrite l’un des lacs salés les plus acides et colorés du monde, le lac Assal","la capitale Djibouti est située à l’extrémité d’un des plus grands gouffres tectoniques, la vallée du Rift","Djibouti est un point stratégique pour le commerce maritime grâce à son emplacement à l’entrée de la mer Rouge, près du canal de Suez."
"Soudan du Sud","Djouba","Djouba est l'une des capitales les plus récentes du monde, créée en 1976","le Soudan du Sud est le plus jeune pays du monde, ayant obtenu son indépendance en 2011","la région autour de Djouba est connue pour sa grande diversité ethnique avec plus de 60 groupes ethniques différents."
"Qatar","Doha","Doha a l’un des pourcentages les plus élevés de gratte-ciel par habitant au monde","Le Musée d’Art Islamique de Doha est conçu pour refléter les formes géométriques traditionnelles islamiques","Le désert autour de Doha offre des safaris en 4x4 pour observer les faucons, un symbole national du Qatar."
"Tadjikistan","Douchanbé","Le Tadjikistan est le pays le plus montagneux du monde, avec plus de 90 % de son territoire situé à plus de 1 500 mètres d'altitude","Douchanbé signifie ""lundi"" en tadjik, car la ville s'est développée autour d'un marché se tenant ce jour-là","le Pamir, situé au Tadjikistan, est surnommé ""le toit du monde"" et abrite certains des plus hauts cols routiers accessibles en voiture."
"Irlande","Dublin","Dublin a plus de ponts que Venise","l'Irlande est l'un des seuls pays sans serpent natif","le célèbre écrivain James Joyce a popularisé le langage irlandais dans la littérature mondiale."
"Arménie","Erevan","Erevan est l'une des plus anciennes villes continuellement habitées au monde, fondée en 782 av. J.-C.","l’Arménie a été le premier pays à adopter le christianisme comme religion d’État en 301 ap. J.-C.","le mont Ararat, symbole national arménien, se trouve en Turquie mais est visible depuis Erevan par temps clair."
"Sierra Leone","Freetown","Freetown a été fondée en 1792 comme une colonie pour les anciens esclaves libérés","la Sierra Leone possède l’une des forêts pluvieuses les plus anciennes au monde, abritant des espèces rares comme le pygargue vocifer","le parc national du Gola en Sierra Leone est un des hotspots de biodiversité avec plus de 300 espèces d’oiseaux recensées."
"Tuvalu","Funafuti","Tuvalu est l'un des plus petits pays du monde en termes de population et de superficie","Funafuti, la capitale, est en réalité un atoll formé de 33 îlots","le pays est extrêmement vulnérable à la montée du niveau de la mer due au changement climatique."
"Botswana","Gaborone","Le Botswana est l'un des rares pays d'Afrique à avoir aboli la peine de mort depuis 1992","Gaborone est l'une des capitales africaines les plus jeunes, fondée seulement en 1964","Le delta de l'Okavango au Botswana est l'un des plus grands deltas intérieurs du monde, attirant une faune spectaculaire."
"Guyana","Georgetown","Georgetown est surnommée la ""Garden City of the Caribbean"" grâce à ses nombreux parcs et jardins","le Guyana est le seul pays de l’Amérique du Sud où l’anglais est la langue officielle","le fleuve Essequibo près de Georgetown est l’un des plus longs fleuves d’Amérique du Sud."
"Guatemala","Guatemala","Le Guatemala abrite la plus grande pyramide du monde en volume, la pyramide de La Danta à Tikal","La ville de Guatemala a été reconstruite plusieurs fois à cause de séismes dévastateurs","Le pays est le berceau du cacao, utilisé par les Mayas comme monnaie et boisson sacrée."
"Vietnam","Hanoï","Hanoï abrite un lac entouré de tortues géantes sacrées appelées lac Hoàn Kiếm","le Vietnam est le plus grand exportateur mondial de café robusta","la capitale Hanoï possède un vieux quartier avec plus de 36 rues spécialisées par métier."
"Zimbabwe","Harare","Le Zimbabwe abrite les célèbres ruines du Grand Zimbabwe, un ancien complexe en pierre construit sans mortier","Harare est surnommée ""La ville verte"" en raison de ses nombreux parcs et espaces verts","le Zimbabwe produit l'un des meilleurs thés du monde, cultivé dans la région des Monts Eastern Highlands."
"Cuba","La Havane","La Havane possède la plus grande collection de voitures américaines des années 1950 encore en circulation au monde","Cuba est le seul pays au monde à avoir une lettre officielle exclusivement consacrée aux enfants, appelée «Carta a los Reyes Magos»","La salsa, danse emblématique de Cuba, est née d’un mélange de rythmes africains, espagnols et caribéens."
"Finlande","Helsinki","Helsinki compte plus de 300 îles autour de la ville","en Finlande, le sauna est si central que l'on estime qu'il y a environ 2 millions de saunas pour 5,5 millions d'habitants","la Finlande est le premier pays au monde à déclarer l'éducation comme un droit fondamental."
"Îles Salomon","Honiara","Les Îles Salomon comptent plus de 900 îles, mais moins de 30 sont habitées","Honiara est la seule capitale du Pacifique Sud construite sur une plage volcanique","pendant la Seconde Guerre mondiale, plusieurs batailles clés ont eu lieu autour des Îles Salomon, notamment la bataille de Guadalcanal."
"Pakistan","Islamabad","Islamabad est l'une des rares capitales au monde conçues spécifiquement comme une ville moderne planifiée","Le Pakistan possède le plus grand réseau frigorifique de fruits en Asie du Sud, crucial pour la conservation des mangues","La mosquée Faisal d'Islamabad est la plus grande mosquée du Pakistan et a été financée par le roi Faisal d'Arabie Saoudite."
"Indonésie","Jakarta, Nusantara","L’Indonésie est le plus grand archipel au monde avec plus de 17 000 îles","Jakarta est construite en partie sur un ancien lac, ce qui cause un affaissement du sol massif","Nusantara, la nouvelle capitale prévue, sera construite sur l'île de Bornéo pour réduire la pression sur Jakarta."
"Israël","Jérusalem, Tel Aviv","Tel Aviv est connue comme la ""ville qui ne dort jamais"" en raison de sa vie nocturne animée et de ses activités 24h/24","Jérusalem abrite le Mur des Lamentations, un lieu sacré où des millions de notes de prière sont glissées dans les fissures chaque année","Israël est le seul pays au monde où les guêpes ont un rôle officiel en politique, avec des chercheurs qui étudient leur comportement pour comprendre les dynamiques sociales humaines."
"Palestine","Jérusalem, Ramallah","Jérusalem est une ville sainte pour trois grandes religions : le judaïsme, le christianisme et l'islam","Ramallah est devenue le centre administratif de l'Autorité palestinienne après avoir été un village agricole","en Palestine, on trouve l'un des plus anciens sites archéologiques du monde, Jéricho, habitée depuis plus de 11 000 ans."
"Afghanistan","Kaboul","Kaboul est l'une des capitales les plus hautes du monde, située à environ 1 800 mètres d'altitude","L'Afghanistan est souvent appelé le ""pays des montagnes"", avec plus de 75% de son territoire couvert de montagnes","Kaboul abrite un bazar vieux de plus de 2 000 ans, preuve de son importance historique en tant que carrefour commercial."
"Ouganda","Kampala","L’Ouganda est surnommé la « Perle de l’Afrique » par Winston Churchill","Le lac Victoria, le plus grand lac d’Afrique, borde Kampala","L’Ouganda abrite les derniers gorilles de montagne sauvages au monde."
"Népal","Katmandou","Katmandou abrite le stupa de Swayambhunath, aussi appelé le ""Temple des singes"", célèbre pour ses singes vivant sur le site sacré","Le Népal est le seul pays où le drapeau national n’est pas quadrangulaire mais en forme de double triangle","L’Everest, la plus haute montagne du monde, se trouve à la frontière entre le Népal et la Chine."
"Soudan","Khartoum","Khartoum est située à la confluence du Nil Bleu et du Nil Blanc, formant le Nil blanc le plus long du monde","Le Soudan abrite la plus grande concentration de pyramides au monde, dépassant même l'Égypte","Le désert du Sahara couvre plus de la moitié du territoire soudanais, faisant du pays l’un des plus désertiques de la planète."
"Ukraine","Kiev","Kiev abrite la plus grande église orthodoxe d'Ukraine, la cathédrale Sainte-Sophie, célèbre pour ses mosaïques datant du XIe siècle","l’Ukraine est le plus grand pays entièrement en Europe, sans compter la Russie","le métro de Kiev est aussi profond que 105 mètres dans certaines stations, ce qui en fait l’un des plus profonds au monde."
"Rwanda","Kigali","Kigali est souvent citée comme l'une des villes les plus propres d'Afrique grâce à des campagnes de nettoyage communautaire régulières","le Rwanda est l'un des rares pays africains à avoir une parité quasi totale entre hommes et femmes au parlement","le volcan Nyiragongo, actif et spectaculaire, se trouve à la frontière entre le Rwanda et la République démocratique du Congo, influençant la région environnante."
"Jamaïque","Kingston","La Jamaïque est le berceau du reggae et de Bob Marley","Kingston possède la plus grande usine de production de bauxite au monde","la Jamaïque a remporté le plus de médailles olympiques dans les courses de sprint parmi tous les pays du Commonwealth."
"Saint-Vincent-et-les-Grenadines","Kingstown","Saint-Vincent-et-les-Grenadines abrite le volcan actif La Soufrière, qui a récemment connu une éruption en 2021","Kingstown possède un marché coloré où les habitants vendent des fruits tropicaux exotiques et des épices locales","l’archipel est célèbre pour avoir servi de décor naturel à plusieurs films hollywoodiens, dont une partie de «Pirates des Caraïbes»."
"République démocratique du Congo","Kinshasa","La République démocratique du Congo possède la deuxième plus grande forêt tropicale au monde après l'Amazonie","Kinshasa est l'une des plus grandes villes francophones du monde, avec plus de 15 millions d'habitants","le fleuve Congo, qui traverse le pays, est le deuxième plus long d'Afrique et possède les plus puissantes cascades du continent, les chutes Livingstone."
"Palaos","Melekeok","Melekeok est la plus petite capitale nationale au monde en termes de population","Palaos possède l'un des plus grands lagons protégés avec une biodiversité marine exceptionnelle","les eaux autour de Palaos abritent un célèbre ""Blue Hole"" sous-marin, un site de plongée mondialement réputé."
"Koweït","Koweït","La tour du Koweït est composée de 3 tours reliées par des passerelles, avec un restaurant tournant à 120 mètres de hauteur","Le Koweït possède une des plus grandes concentrations de gratte-ciels par habitant au Moyen-Orient","Le désert du Koweït abrite des oasis naturelles où poussent des palmiers dattiers depuis des siècles."
"Malaisie","Kuala Lumpur, Putrajaya","Kuala Lumpur abrite les tours jumelles Petronas, qui furent les plus hautes du monde de 1998 à 2004","Putrajaya est une ville planifiée construite entièrement pour devenir le centre administratif fédéral de Malaisie","la Malaisie est l’un des plus grands exportateurs mondiaux d’huile de palme."
"Gabon","Libreville","Libreville doit son nom à la liberté accordée aux esclaves affranchis qui s'y sont installés","le Gabon est l'un des plus grands producteurs mondiaux de manganèse","la forêt gabonaise abrite une diversité exceptionnelle, avec environ 80% du pays couvert de jungle dense."
